IncomeVerifiable,IncomeRange,IsBorrowerHomeowner,LoanStatus,NewLoanOriginationDate,LoanOriginalAmount
FALSE,0,FALSE,Chargedoff,10-2007,11200
FALSE,0,FALSE,Chargedoff,10-2008,29500
FALSE,0,FALSE,Chargedoff,11-2007,62500
FALSE,0,FALSE,Chargedoff,11-2011,7000
FALSE,0,FALSE,Chargedoff,1-2008,15000
FALSE,0,FALSE,Chargedoff,1-2010,1000
FALSE,0,FALSE,Chargedoff,12-2007,20851
FALSE,0,FALSE,Chargedoff,12-2010,10000
FALSE,0,FALSE,Chargedoff,2-2008,21000
FALSE,0,FALSE,Chargedoff,3-2007,4250
FALSE,0,FALSE,Chargedoff,3-2008,25323
FALSE,0,FALSE,Chargedoff,3-2012,4000
FALSE,0,FALSE,Chargedoff,4-2008,47000
FALSE,0,FALSE,Chargedoff,5-2008,44100
FALSE,0,FALSE,Chargedoff,6-2007,1500
FALSE,0,FALSE,Chargedoff,6-2008,79375
FALSE,0,FALSE,Chargedoff,7-2007,25600
FALSE,0,FALSE,Chargedoff,7-2008,28500
FALSE,0,FALSE,Chargedoff,7-2011,8000
FALSE,0,FALSE,Chargedoff,8-2007,35000
FALSE,0,FALSE,Chargedoff,8-2008,1000
FALSE,0,FALSE,Chargedoff,8-2011,4000
FALSE,0,FALSE,Chargedoff,9-2007,27800
FALSE,0,FALSE,Chargedoff,9-2008,20000
FALSE,0,FALSE,Completed,10-2007,67849
FALSE,0,FALSE,Completed,10-2008,4500
FALSE,0,FALSE,Completed,11-2007,127649
FALSE,0,FALSE,Completed,11-2011,2000
FALSE,0,FALSE,Completed,1-2008,27736
FALSE,0,FALSE,Completed,12-2007,49601
FALSE,0,FALSE,Completed,2-2008,32900
FALSE,0,FALSE,Completed,2-2011,13500
FALSE,0,FALSE,Completed,3-2007,16200
FALSE,0,FALSE,Completed,3-2008,41850
FALSE,0,FALSE,Completed,3-2010,2500
FALSE,0,FALSE,Completed,3-2012,14000
FALSE,0,FALSE,Completed,4-2007,1975
FALSE,0,FALSE,Completed,4-2008,155203
FALSE,0,FALSE,Completed,5-2008,176480
FALSE,0,FALSE,Completed,5-2011,12500
FALSE,0,FALSE,Completed,6-2007,64987
FALSE,0,FALSE,Completed,6-2008,203795
FALSE,0,FALSE,Completed,6-2010,1500
FALSE,0,FALSE,Completed,7-2007,33000
FALSE,0,FALSE,Completed,7-2008,29030
FALSE,0,FALSE,Completed,8-2007,66934
FALSE,0,FALSE,Completed,8-2008,8700
FALSE,0,FALSE,Completed,8-2009,2500
FALSE,0,FALSE,Completed,8-2010,4200
FALSE,0,FALSE,Completed,9-2007,56160
FALSE,0,FALSE,Completed,9-2008,1000
FALSE,0,FALSE,Current,10-2012,15000
FALSE,0,FALSE,Current,2-2012,11000
FALSE,0,FALSE,Current,4-2013,4000
FALSE,0,FALSE,Current,6-2011,2000
FALSE,0,FALSE,Current,6-2012,3500
FALSE,0,FALSE,Current,6-2013,3500
FALSE,0,FALSE,Current,9-2013,4000
FALSE,0,FALSE,Defaulted,11-2007,24000
FALSE,0,FALSE,Defaulted,1-2008,10000
FALSE,0,FALSE,Defaulted,12-2007,25601
FALSE,0,FALSE,Defaulted,2-2008,24000
FALSE,0,FALSE,Defaulted,3-2008,8000
FALSE,0,FALSE,Defaulted,4-2008,9500
FALSE,0,FALSE,Defaulted,5-2008,5600
FALSE,0,FALSE,Defaulted,6-2008,1000
FALSE,0,FALSE,Defaulted,7-2007,10500
FALSE,0,FALSE,Defaulted,7-2008,4000
FALSE,0,FALSE,Defaulted,7-2011,7500
FALSE,0,FALSE,Defaulted,9-2007,9000
FALSE,0,FALSE,Past Due (>120 days),7-2012,3000
FALSE,0,FALSE,Past Due (61-90 days),6-2013,4000
FALSE,0,TRUE,Chargedoff,10-2007,28000
FALSE,0,TRUE,Chargedoff,11-2007,166000
FALSE,0,TRUE,Chargedoff,11-2009,4600
FALSE,0,TRUE,Chargedoff,1-2008,81780
FALSE,0,TRUE,Chargedoff,1-2012,2500
FALSE,0,TRUE,Chargedoff,12-2007,67075
FALSE,0,TRUE,Chargedoff,12-2011,10000
FALSE,0,TRUE,Chargedoff,2-2008,20500
FALSE,0,TRUE,Chargedoff,3-2008,59350
FALSE,0,TRUE,Chargedoff,4-2008,31800
FALSE,0,TRUE,Chargedoff,5-2008,146750
FALSE,0,TRUE,Chargedoff,6-2007,70000
FALSE,0,TRUE,Chargedoff,6-2008,129000
FALSE,0,TRUE,Chargedoff,7-2007,12100
FALSE,0,TRUE,Chargedoff,7-2008,28300
FALSE,0,TRUE,Chargedoff,8-2007,51301
FALSE,0,TRUE,Chargedoff,8-2008,17000
FALSE,0,TRUE,Chargedoff,9-2007,57000
FALSE,0,TRUE,Completed,10-2007,51400
FALSE,0,TRUE,Completed,10-2008,3000
FALSE,0,TRUE,Completed,11-2007,117100
FALSE,0,TRUE,Completed,1-2008,35800
FALSE,0,TRUE,Completed,12-2007,50750
FALSE,0,TRUE,Completed,2-2008,43500
FALSE,0,TRUE,Completed,2-2012,4000
FALSE,0,TRUE,Completed,3-2008,36700
FALSE,0,TRUE,Completed,3-2010,7500
FALSE,0,TRUE,Completed,4-2008,148500
FALSE,0,TRUE,Completed,4-2010,5000
FALSE,0,TRUE,Completed,5-2007,1000
FALSE,0,TRUE,Completed,5-2008,175429
FALSE,0,TRUE,Completed,6-2007,3500
FALSE,0,TRUE,Completed,6-2008,120800
FALSE,0,TRUE,Completed,7-2007,77650
FALSE,0,TRUE,Completed,7-2008,52000
FALSE,0,TRUE,Completed,8-2007,71500
FALSE,0,TRUE,Completed,8-2008,10000
FALSE,0,TRUE,Completed,9-2007,31500
FALSE,0,TRUE,Completed,9-2010,7500
FALSE,0,TRUE,Completed,9-2011,4000
FALSE,0,TRUE,Current,5-2012,3000
FALSE,0,TRUE,Current,6-2011,7500
FALSE,0,TRUE,Current,7-2012,15000
FALSE,0,TRUE,Defaulted,10-2007,34925
FALSE,0,TRUE,Defaulted,11-2007,45150
FALSE,0,TRUE,Defaulted,12-2007,25000
FALSE,0,TRUE,Defaulted,2-2008,2500
FALSE,0,TRUE,Defaulted,3-2008,2000
FALSE,0,TRUE,Defaulted,4-2008,30995
FALSE,0,TRUE,Defaulted,5-2008,43500
FALSE,0,TRUE,Defaulted,6-2008,22500
FALSE,0,TRUE,Defaulted,7-2007,18000
FALSE,0,TRUE,Defaulted,7-2008,73500
FALSE,0,TRUE,Defaulted,8-2007,29000
FALSE,0,TRUE,Defaulted,8-2008,30500
FALSE,0,TRUE,Defaulted,9-2007,50000
FALSE,0,TRUE,Past Due (1-15 days),10-2012,15000
FALSE,0,TRUE,Past Due (1-15 days),11-2011,3000
FALSE,"$100,000+",FALSE,Chargedoff,10-2008,20000
FALSE,"$100,000+",FALSE,Chargedoff,10-2009,7500
FALSE,"$100,000+",FALSE,Chargedoff,10-2011,7500
FALSE,"$100,000+",FALSE,Chargedoff,11-2011,17000
FALSE,"$100,000+",FALSE,Chargedoff,11-2012,19000
FALSE,"$100,000+",FALSE,Chargedoff,1-2012,24000
FALSE,"$100,000+",FALSE,Chargedoff,1-2013,14880
FALSE,"$100,000+",FALSE,Chargedoff,12-2011,9000
FALSE,"$100,000+",FALSE,Chargedoff,2-2012,8000
FALSE,"$100,000+",FALSE,Chargedoff,2-2013,4000
FALSE,"$100,000+",FALSE,Chargedoff,3-2010,3000
FALSE,"$100,000+",FALSE,Chargedoff,3-2011,15000
FALSE,"$100,000+",FALSE,Chargedoff,3-2012,18000
FALSE,"$100,000+",FALSE,Chargedoff,4-2012,3500
FALSE,"$100,000+",FALSE,Chargedoff,5-2011,6000
FALSE,"$100,000+",FALSE,Chargedoff,5-2012,42000
FALSE,"$100,000+",FALSE,Chargedoff,5-2013,4000
FALSE,"$100,000+",FALSE,Chargedoff,6-2010,3000
FALSE,"$100,000+",FALSE,Chargedoff,6-2011,4000
FALSE,"$100,000+",FALSE,Chargedoff,6-2012,6500
FALSE,"$100,000+",FALSE,Chargedoff,7-2008,6000
FALSE,"$100,000+",FALSE,Chargedoff,7-2012,34000
FALSE,"$100,000+",FALSE,Chargedoff,8-2008,10000
FALSE,"$100,000+",FALSE,Chargedoff,8-2011,10000
FALSE,"$100,000+",FALSE,Chargedoff,9-2010,5000
FALSE,"$100,000+",FALSE,Chargedoff,9-2011,25000
FALSE,"$100,000+",FALSE,Chargedoff,9-2012,10500
FALSE,"$100,000+",FALSE,Completed,10-2009,10500
FALSE,"$100,000+",FALSE,Completed,10-2011,42040
FALSE,"$100,000+",FALSE,Completed,10-2012,15000
FALSE,"$100,000+",FALSE,Completed,11-2009,15500
FALSE,"$100,000+",FALSE,Completed,11-2010,5000
FALSE,"$100,000+",FALSE,Completed,11-2011,40000
FALSE,"$100,000+",FALSE,Completed,11-2012,9000
FALSE,"$100,000+",FALSE,Completed,1-2010,11500
FALSE,"$100,000+",FALSE,Completed,1-2011,14000
FALSE,"$100,000+",FALSE,Completed,1-2012,21000
FALSE,"$100,000+",FALSE,Completed,12-2009,1000
FALSE,"$100,000+",FALSE,Completed,12-2010,23000
FALSE,"$100,000+",FALSE,Completed,12-2011,6000
FALSE,"$100,000+",FALSE,Completed,12-2012,18000
FALSE,"$100,000+",FALSE,Completed,2-2011,13500
FALSE,"$100,000+",FALSE,Completed,2-2012,4000
FALSE,"$100,000+",FALSE,Completed,2-2013,4000
FALSE,"$100,000+",FALSE,Completed,3-2007,13000
FALSE,"$100,000+",FALSE,Completed,3-2010,10000
FALSE,"$100,000+",FALSE,Completed,3-2011,22500
FALSE,"$100,000+",FALSE,Completed,3-2012,9000
FALSE,"$100,000+",FALSE,Completed,3-2013,3000
FALSE,"$100,000+",FALSE,Completed,4-2010,1000
FALSE,"$100,000+",FALSE,Completed,4-2011,13089
FALSE,"$100,000+",FALSE,Completed,4-2012,4000
FALSE,"$100,000+",FALSE,Completed,4-2013,30000
FALSE,"$100,000+",FALSE,Completed,5-2010,23500
FALSE,"$100,000+",FALSE,Completed,5-2011,11500
FALSE,"$100,000+",FALSE,Completed,5-2012,40500
FALSE,"$100,000+",FALSE,Completed,5-2013,2000
FALSE,"$100,000+",FALSE,Completed,6-2010,7500
FALSE,"$100,000+",FALSE,Completed,6-2011,4000
FALSE,"$100,000+",FALSE,Completed,6-2012,11000
